#       xZ     Ytp_tot
#
  0.946050   0.000150
  0.946300   0.000173
  0.946550   0.000166
  0.946800   0.000210
  0.947050   0.000278
  0.947300   0.000262
  0.947550   0.000224
  0.947800   0.000241
  0.948050   0.000263
  0.948300   0.000256
  0.948550   0.000286
  0.948800   0.000359
  0.949050   0.000375
  0.949300   0.000383
  0.949550   0.000431
  0.949800   0.000430
  0.950050   0.000433
  0.950300   0.000495
  0.950550   0.000507
  0.950800   0.000484
  0.951050   0.000533
  0.951300   0.000557
  0.951550   0.000543
  0.951800   0.000656
  0.952050   0.000766
  0.952300   0.000733
  0.952550   0.000733
  0.952800   0.000795
  0.953050   0.000823
  0.953300   0.000857
  0.953550   0.000938
  0.953800   0.001019
  0.954050   0.001038
  0.954300   0.001078
  0.954550   0.001185
  0.954800   0.001265
  0.955050   0.001363
  0.955300   0.001499
  0.955550   0.001538
  0.955800   0.001541
  0.956050   0.001665
  0.956300   0.001812
  0.956550   0.001941
  0.956800   0.002149
  0.957050   0.002293
  0.957300   0.002362
  0.957550   0.002490
  0.957800   0.002664
  0.958050   0.002855
  0.958300   0.003061
  0.958550   0.003279
  0.958800   0.003470
  0.959050   0.003656
  0.959300   0.003930
  0.959550   0.004216
  0.959800   0.004460
  0.960050   0.004774
  0.960300   0.005137
  0.960550   0.005456
  0.960800   0.005798
  0.961050   0.006245
  0.961300   0.006724
  0.961550   0.007211
  0.961800   0.007781
  0.962050   0.008342
  0.962300   0.008854
  0.962550   0.009487
  0.962800   0.010180
  0.963050   0.010850
  0.963300   0.011635
  0.963550   0.012474
  0.963800   0.013322
  0.964050   0.014341
  0.964300   0.015433
  0.964550   0.016461
  0.964800   0.017620
  0.965050   0.018904
  0.965300   0.020202
  0.965550   0.021599
  0.965800   0.023169
  0.966050   0.024825
  0.966300   0.026480
  0.966550   0.028205
  0.966800   0.030108
  0.967050   0.032101
  0.967300   0.034205
  0.967550   0.036530
  0.967800   0.038987
  0.968050   0.041432
  0.968300   0.044085
  0.968550   0.046912
  0.968800   0.049767
  0.969050   0.052705
  0.969300   0.055822
  0.969550   0.058988
  0.969800   0.062259
  0.970050   0.065753
  0.970300   0.069356
  0.970550   0.073070
  0.970800   0.076916
  0.971050   0.080602
  0.971300   0.084282
  0.971550   0.088054
  0.971800   0.091939
  0.972050   0.095800
  0.972300   0.099654
  0.972550   0.103643
  0.972800   0.107626
  0.973050   0.111643
  0.973300   0.115593
  0.973550   0.119331
  0.973800   0.122894
  0.974050   0.126465
  0.974300   0.130003
  0.974550   0.133403
  0.974800   0.136703
  0.975050   0.139946
  0.975300   0.143107
  0.975550   0.146037
  0.975800   0.148924
  0.976050   0.151811
  0.976300   0.154546
  0.976550   0.157192
