#       xJ          yJ
#  
  0.972050   0.509966
  0.972300   0.527880
  0.972550   0.546324
  0.972800   0.564556
  0.973050   0.582788
  0.973300   0.600490
  0.973550   0.616920
  0.973800   0.632290
  0.974050   0.647554
  0.974300   0.662500
  0.974550   0.676598
  0.974800   0.690060
  0.975050   0.703098
  0.975300   0.715606
  0.975550   0.726842
  0.975800   0.737760
  0.976050   0.748572
  0.976300   0.758536
  0.976550   0.767970
  0.976800   0.777404
  0.977050   0.786308
  0.977300   0.794258
  0.977550   0.801890
  0.977800   0.808674
  0.978050   0.814398
  0.978300   0.820334
  0.978550   0.826164
  0.978800   0.831040
  0.979050   0.835492
  0.979300   0.839838
  0.979550   0.843548
  0.979800   0.846304
  0.980050   0.848636
  0.980300   0.851922
  0.980550   0.855526
  0.980800   0.858388
  0.981050   0.860720
  0.981300   0.862204
  0.981550   0.863264
  0.981800   0.864324
  0.982050   0.865384
  0.982300   0.866762
  0.982550   0.868564
  0.982800   0.870896
  0.983050   0.872486
  0.983300   0.873652
  0.983550   0.874924
  0.983800   0.875560
  0.984050   0.875560
  0.984300   0.876090
  0.984550   0.875878
  0.984800   0.874924
  0.985050   0.875030
  0.985300   0.875136
  0.985550   0.874182
  0.985800   0.873228
  0.986050   0.873546
  0.986300   0.873228
  0.986550   0.872804
  0.986800   0.873652
  0.987050   0.873970
  0.987300   0.873546
  0.987550   0.873122
  0.987800   0.872486
  0.988050   0.871108
  0.988300   0.870472
  0.988550   0.871744
  0.988800   0.872274
  0.989050   0.871320
  0.989300   0.870578
  0.989550   0.869518
  0.989800   0.868564
  0.990050   0.868776
  0.990300   0.869200
  0.990550   0.869412
  0.990800   0.870366
  0.991050   0.871214
  0.991300   0.871214
  0.991550   0.871956
  0.991800   0.873016
  0.992050   0.872910
  0.992300   0.872592
  0.992550   0.873334
  0.992800   0.873864
  0.993050   0.874712
  0.993300   0.877044
  0.993550   0.879482
  0.993800   0.880648
  0.994050   0.881708
  0.994300   0.883404
  0.994550   0.884146
  0.994800   0.885524
  0.995050   0.888280
  0.995300   0.889340
  0.995550   0.889340
  0.995800   0.891036
  0.996050   0.893686
  0.996300   0.895806
  0.996550   0.897820
  0.996800   0.899304
  0.997050   0.899516
  0.997300   0.900152
  0.997550   0.902484
  0.997800   0.905346
  0.998050   0.907360
  0.998300   0.909586
  0.998550   0.911706
  0.998800   0.912448
  0.999050   0.913614
  0.999300   0.915734
  0.999550   0.916794
  0.999800   0.917536
  1.000050   0.919126
  1.000300   0.920186
  1.000550   0.920716
  1.000800   0.921988
  1.001050   0.923790
  1.001300   0.924956
  1.001550   0.925274
  1.001800   0.926122
  1.002050   0.927076
  1.002300   0.927394
  1.002550   0.928666
  1.002800   0.931104
  1.003050   0.932376
  1.003300   0.932482
  1.003550   0.933436
  1.003800   0.934496
  1.004050   0.935344
  1.004300   0.936510
  1.004550   0.937040
  1.004800   0.937994
  1.005050   0.939584
  1.005300   0.940538
  1.005550   0.940856
  1.005800   0.940538
  1.006050   0.939054
  1.006300   0.937358
  1.006550   0.937146
  1.006800   0.937570
  1.007050   0.937782
  1.007300   0.938206
  1.007550   0.938736
  1.007800   0.938736
  1.008050   0.938312
  1.008300   0.937888
  1.008550   0.937782
  1.008800   0.937994
  1.009050   0.937464
  1.009300   0.937676
  1.009550   0.938206
  1.009800   0.938842
  1.010050   0.940432
  1.010300   0.941280
  1.010550   0.940750
  1.010800   0.940326
  1.011050   0.940220
  1.011300   0.940326
  1.011550   0.940432
  1.011800   0.940750
  1.012050   0.941386
