## Sky Background in mJy/sr
# lam_mircons low_background medium_background high_background
0.5 0.1518016351588276 0.1430549424117979 0.15346358799175638
0.6 0.20074820971484375 0.18918751062164635 0.20294484988093417
0.7 0.22564964840818527 0.21267236866812653 0.2281154520497986
0.8 0.23345172581879847 0.22005549539066438 0.2359971339810052
0.9 0.22988066039820895 0.21672243988663445 0.232380844466403
1.0 0.21965184792387732 0.20711837585857745 0.22203332398663636
1.1 0.20590337499584294 0.19419648496333808 0.20812779279775034
1.2 0.1906781153292077 0.17988216361010095 0.19272944639372075
1.3 0.17853132764515547 0.168863330812084 0.1813181770460548
1.4 0.16957421284188667 0.16117496914049095 0.17385439507093628
1.5 0.16066449143297173 0.15343852767571786 0.16624060401281282
1.6 0.15204091259500507 0.14588552664528112 0.158731247414771
1.7 0.14380448890195624 0.1386176497974167 0.15144610211988477
1.8 0.13605090713903506 0.13173552547560083 0.14450000544507935
1.9 0.12879567542165077 0.12526169705470142 0.13792663559819515
2.0 0.12200023373807277 0.11916545152150979 0.1317040009130657
2.1 0.11566549700402178 0.11345562727519166 0.1258477730770828
2.2 0.10977685274826506 0.10812520827411448 0.120356293605243
2.3 0.10320764650499703 0.10187299874681693 0.11351745660037321
2.4 0.09716925072793091 0.09611910603137559 0.1072170515004556
2.5 0.09155174064149132 0.09075706507113346 0.10134582024134609
2.6 0.0863803117142297 0.08581518084392377 0.09592931702334859
2.7 0.08159611673770134 0.08123738457020255 0.09090883283694144
2.8 0.07718187897851399 0.07700887279752493 0.08626707246516084
2.9 0.07309264138319588 0.07308688506033936 0.08195895042190487
3.0 0.06930689475720726 0.06945186055346644 0.07796275338741697
3.1 0.06579054111210277 0.06607142863912299 0.07424412867598243
3.2 0.06272516804054191 0.06312870835111546 0.07098437701454026
3.3 0.06060754536669879 0.06112182785630164 0.06867996264056161
3.4 0.05662884405020101 0.05724316380430037 0.06452174198557055
3.5 0.06607873638028386 0.0708714628879136 0.08738538308600285
3.7 0.07279970721216182 0.08073743858908104 0.10388401818299937
4.0 0.09632439340934318 0.11203484728245185 0.15186393823334327
4.25 0.1320750093047165 0.1576757919321065 0.21878083570000548
4.5 0.18635222546427196 0.2252664588571813 0.31492160186298
4.75 0.2613265328938381 0.31691600462955444 0.44217402648762805
5.0 0.357834723531649 0.4330224820004325 0.5999458257650265
